title;total_reviews;avg_hours_played;median_hours_played;recommendation_rate;final_ml_acquisition_score;Community & Social;Gameplay Feedback;Technical Stability Issues
ACE COMBAT™ 7: SKIES UNKNOWN;8;27,38;25,5;100;0,49;100;0;0
ASTRONEER;576;52,57;28;86,11;5,78;86,46;12,33;1,22
Beat Saber;10;57,3;26,5;100;19,42;100;0;0
Dead by Daylight;1034;250,34;97;63,06;31,41;83,75;10,74;5,51
Euro Truck Simulator 2;330;207,35;96;100;31,22;89,39;8,18;2,42
Factorio;158;389,47;176,5;100;55,05;91,77;7,59;0,63
Farming Simulator 19;7;245,71;75;42,86;16,72;100;0;0
Grand Theft Auto V;2173;289,06;182;63,23;43,88;91,72;5,38;2,9
Insurgency: Sandstorm;208;45,97;30;94,23;5,21;89,42;10,1;0,48
Left 4 Dead 2;202;310,63;82,5;99,5;29,01;82,18;10,89;6,93
MONSTER HUNTER: WORLD;774;153,67;107;60,08;31,06;92,51;6,59;0,9
Overcooked! 2;10;29,1;20;90;0,35;60;40;0
PLAYERUNKNOWN'S BATTLEGROUNDS;2538;358,75;234;68,36;54,05;88,02;7,92;4,06
RESIDENT EVIL 2 / BIOHAZARD RE:2;496;26,85;21;98,59;0,48;97,58;0,6;1,81
RimWorld;184;248,71;130,5;100;45,34;94,57;4,89;0,54
Rocket League®;1772;398,66;164,5;60,55;38,33;84,2;13,04;2,77
Rust;2290;494,77;171;66,46;45,49;89,78;7,73;2,49
Slay the Spire;231;147,04;107;99,13;37,52;86,15;13,42;0,43
Stardew Valley;183;124,64;91;100;27,68;89,62;8,74;1,64
Subnautica;204;92,3;60;100;15,19;90,69;7,84;1,47
Terraria;239;430,77;283;100;51,17;82,01;14,23;3,77
The Elder Scrolls V: Skyrim Special Edition;976;99,85;46,5;63,83;15,01;72,85;1,02;26,13
Warhammer 40000: Mechanicus;7;22,71;20;100;0,34;85,71;14,29;0
